Project Name,Issue Key,Issue Type,Summary,Description,Status,Priority,Assignee,Reporter,Labels,Comments,Attachments,Created Date,Updated Date,Due Date,Linked Issues,Sprint,Story Points,Components,Fix Version(s),Resolution,Delay (Days)
,PE-4,Task,Implement agent performance tracking,"Add metrics and reporting to track individual support agent performance, such as resolution time and customer satisfaction scores.",Done,Medium,Kelly Nelson,Grace Jones,"Reporting, Performance","""Performance dashboards created. Ready for internal testing.""",-,2025-02-15,2025-04-25,2025-04-20,-,Sprint 2: Metrics,-,"Backend, Reporting",0.9,Fixed,5
,PE-5,Story,"As a support agent, I want to create new tickets","Enable support agents to create new customer tickets directly within the internal tool, with customizable fields.",To Do,Medium,Leo O'Connor,Henry Kim,"Ticket Creation, UX","""Designing the 'Create Ticket' form. Needs to be intuitive and fast.""",-,2025-04-15,2025-05-08,2025-07-15,-,Sprint 5: Ticket Management,5,Frontend,1.1,Unresolved,0
Project Zeta: AI-Powered Recommendation Engine,PZ-1,Epic,Develop personalized recommendation algo,Design and implement an AI-powered recommendation engine to provide personalized product/content suggestions to users.,In Progress,High,Mia Perez,Nathan Quinn,"AI, Machine Learning","""Researching collaborative filtering vs. content-based methods. Starting data collection.""",rec_engine_spec.pdf,2025-02-01,2025-05-20,2025-09-01,"PZ-2, PZ-3",Sprint 1: Data Acquisition,-,"AI/ML, Backend",1,Unresolved,0
,PZ-2,Story,"As a user, I want relevant product suggestions",Display highly relevant product recommendations on the homepage and product detail pages based on Browse history and preferences.,To Do,High,Olivia Ross,Mia Perez,"Recommendations, UX","""Working with design to finalize UI for recommendation blocks.""",-,2025-02-15,2025-05-15,2025-08-01,PZ-1,Sprint 2: Frontend Integration,13,"Frontend, AI/ML",1,Unresolved,0
,PZ-3,Bug,Recommendations show out-of-stock items,"The recommendation engine occasionally suggests products that are currently out of stock, leading to a poor user experience.",In Progress,High,Paul Smith,Nathan Quinn,"Bug, AI, Data","""Need to integrate real-time inventory checks into the recommendation pipeline. Likely a data freshness issue.""",stock_bug.txt,2025-03-10,2025-05-22,2025-05-29,PZ-1,Sprint 3: Data Quality,-,"Data Pipeline, AI/ML",0.9.1,Unresolved,0
,PZ-4,Task,Set up A/B testing framework,Implement an A/B testing framework to evaluate the performance of different recommendation algorithms and models.,Done,Medium,Quinn Taylor,Olivia Ross,"A/B Testing, Analytics","""Optimizely integration complete. Ready to define first experiments.""",-,2025-02-20,2025-04-30,2025-04-28,-,Sprint 2: Frontend Integration,-,Analytics,0.9,Fixed,2
,PZ-5,Story,"As an admin, I want to track recommendation performance","Develop a dashboard to monitor key metrics for the recommendation engine, such as click-through rates and conversion rates.",To Do,Medium,Rachel Usher,Mia Perez,"Analytics, Monitoring","""Defining KPIs for the recommendation engine. Will use Tableau for visualization.""",-,2025-04-01,2025-05-01,2025-08-15,-,Sprint 4: Reporting,8,"Reporting, AI/ML",1.1,Unresolved,0
Project Eta: Cybersecurity Enhancement,PE-1,Epic,Implement comprehensive security audit,"Conduct a full security audit of all existing systems and applications, identifying vulnerabilities and recommending mitigation strategies.",In Progress,High,Steve Vance,Tina White,"Security, Audit","""Scoping out penetration testing firms. Prioritizing critical systems first.""",audit_plan.pdf,2025-01-25,2025-05-19,2025-09-01,"PE-2, PE-3",Sprint 1: Planning,-,Security,1,Unresolved,0
,PE-2,Story,"As a user, I want strong password policies","Enforce strong password policies for all user accounts, including complexity requirements and regular password expiry.",To Do,Medium,Ursula Young,Steve Vance,"Security, Compliance","""Integrating with existing identity provider for policy enforcement.""",-,2025-02-10,2025-05-10,2025-07-01,PE-1,Sprint 2: Authentication,5,User Management,1,Unresolved,0
,PE-3,Bug,SQL Injection vulnerability detected,"A critical SQL Injection vulnerability was identified in the user registration module, allowing unauthorized access to sensitive data.",In Progress,Critical,Victor Zabel,Tina White,"Bug, Security, Critical","""Hotfix deployed to production. Investigating root cause and broader system impact.""",sql_injection.txt,2025-04-01,2025-05-22,2025-05-23,PE-1,Sprint 3: Incident Response,-,Backend,0.9.1,Unresolved,0
,PE-4,Task,Configure WAF for web application,Deploy and configure a Web Application Firewall (WAF) to protect the main web application from common web exploits.,Done,High,Wanda Adams,Ursula Young,"Security, Infrastructure","""WAF rules implemented and initial testing passed. Monitoring for false positives.""",-,2025-02-20,2025-04-28,2025-04-25,-,Sprint 2: Infrastructure,-,"Network, Security",0.9,Fixed,3
,PE-5,Story,"As an admin, I want secure data at rest",Implement encryption for all sensitive data stored in databases and file systems to ensure data at rest security.,To Do,High,Xavier Blue,Steve Vance,"Encryption, Data","""Researching appropriate encryption algorithms and key management strategies.""",-,2025-03-15,2025-05-05,2025-08-01,-,Sprint 4: Data Security,13,"Database, Backend",1.1,Unresolved,0
Project Theta: Internal Knowledge Base System,PT-1,Epic,Develop article creation & management,"Build a system for creating, editing, publishing, and managing knowledge base articles for internal use.",In Progress,High,Yolanda Cross,Zach Davis,"Knowledge Base, CMS","""Wireframes for article editor approved. Starting backend API development.""",kb_wireframes.pdf,2025-02-10,2025-05-20,2025-08-30,"PT-2, PT-3",Sprint 1: Content Management,-,"Frontend, Backend",1,Unresolved,0
,PT-2,Story,"As a user, I want to search for articles",Implement a robust search functionality to allow users to quickly find relevant articles within the knowledge base.,To Do,Medium,Abigail Evans,Yolanda Cross,"Search, UX","""Evaluating search engines like Elasticsearch or Algolia for best performance.""",-,2025-02-25,2025-05-15,2025-07-15,PT-1,Sprint 2: Search Functionality,8,"Search Engine, Frontend",1,Unresolved,0
,PT-3,Bug,Image uploads failing in editor,Users are unable to upload images to articles using the rich text editor; the upload process hangs or returns an error.,In Progress,High,Benjamin Ford,Zach Davis,"Bug, Editor, Images","""Identified a file size limit issue on the server. Adjusting Nginx configuration.""",upload_error.log,2025-04-01,2025-05-22,2025-05-26,PT-1,Sprint 3: Editor Enhancements,-,"Frontend, Backend",0.9.1,Unresolved,1
,PT-4,Task,Implement user roles and permissions,"Define and implement distinct user roles (e.g., editor, reviewer, reader) with appropriate permissions for content access and management.",Done,Medium,Clara Green,Abigail Evans,"Roles, Permissions","""Role-based access control implemented and tested. Ready for security review.""",-,2025-03-01,2025-04-20,2025-04-18,-,Sprint 1: Infrastructure,-,"Backend, Security",0.9,Fixed,2
,PT-5,Story,"As a user, I want to provide feedback on articles","Allow users to rate articles and provide comments or suggestions for improvement, aiding content quality.",To Do,Low,David Hall,Yolanda Cross,"Feedback, UX","""Designing a simple rating and comment system. Considering anonymous feedback option.""",-,2025-04-10,2025-05-01,2025-07-30,-,Sprint 4: Engagement,5,"Frontend, Backend",1.1,Unresolved,0
Project Iota: IoT Device Management Platform,PI-1,Epic,Build device registration and provisioning,"Develop a robust system for registering new IoT devices, provisioning them with necessary configurations, and securely authenticating them.",In Progress,High,Emma Ines,Frank James,"IoT, Device Management","""Designing device registration API. Need to finalize security protocols for device identity.""",device_spec.pdf,2025-02-15,2025-05-19,2025-09-15,"PI-2, PI-3",Sprint 1: Core Device Mgmt,-,"Backend, IoT",1,Unresolved,0
,PI-2,Story,"As an admin, I want to monitor device status","Display the real-time online/offline status, health, and sensor data of all connected IoT devices in a dashboard.",To Do,High,George Kim,Emma Ines,"Monitoring, IoT","""Exploring data streaming technologies like Kafka for real-time updates.""",-,2025-03-01,2025-05-10,2025-08-01,PI-1,Sprint 2: Real-time Data,13,"Frontend, Data Pipeline",1,Unresolved,0
,PI-3,Bug,Device firmware updates fail intermittently,"Firmware updates pushed to specific device models are failing without clear error messages, leaving devices in an inconsistent state.",In Progress,High,Helen Long,Frank James,"Bug, Firmware, IoT","""Investigating network stability for OTA updates. Could be a checksum validation issue on device.""",fw_update_log.txt,2025-04-05,2025-05-22,2025-05-28,PI-1,Sprint 3: Reliability,-,Device Firmware,0.9.1,Unresolved,0
,PI-4,Task,Implement secure communication protocols,"Configure MQTT/HTTPS protocols for secure communication between IoT devices and the platform, including TLS encryption.",Done,High,Ian Moore,George Kim,"Security, Communication","""TLS certificates generated and deployed to test devices. Secure channel established.""",-,2025-02-20,2025-04-30,2025-04-25,-,Sprint 1: Core Device Mgmt,-,"Security, Network",0.9,Fixed,5
,PI-5,Story,"As an admin, I want to manage device groups",Allow administrators to create and manage groups of IoT devices for easier bulk operations and policy application.,To Do,Medium,June Nash,Emma Ines,"Device Grouping, Admin","""Designing group management UI. Needs to handle dynamic device additions/removals.""",-,2025-04-10,2025-05-01,2025-08-30,-,Sprint 4: Admin Tools,8,"Frontend, Backend",1.1,Unresolved,0
Project Kappa: VR Training Simulation,PK-1,Epic,Develop core VR interaction mechanics,"Build the fundamental VR interaction mechanics, including locomotion, object manipulation, and UI interactions within the simulation environment.",In Progress,High,Kayla Owens,Liam Price,"VR, Core Mechanics","""Prototyping different locomotion methods (teleport, smooth motion). Focus on reducing motion sickness.""",vr_design.pdf,2025-03-01,2025-05-21,2025-10-01,"PK-2, PK-3",Sprint 1: Core Interactions,-,"VR, Core Development",1,Unresolved,0
,PK-2,Story,"As a trainee, I want to pick up virtual tools","Enable users to naturally pick up and interact with virtual tools (e.g., wrenches, screwdrivers) within the VR environment.",To Do,Medium,Mia Queen,Kayla Owens,"VR, Interaction","""Researching inverse kinematics and haptic feedback for realistic tool handling.""",-,2025-03-15,2025-05-10,2025-09-01,PK-1,Sprint 2: Object Interaction,8,"VR, Physics Engine",1,Unresolved,0
,PK-3,Bug,Hand tracking inconsistent in VR,"Hand tracking is often losing fidelity or showing jitter, impacting precise object manipulation in the VR environment.",In Progress,High,Noah Roberts,Liam Price,"Bug, VR, Tracking","""Investigating SDK version compatibility and lighting conditions affecting sensor data. Re-calibrating.""",tracking_logs.txt,2025-04-10,2025-05-22,2025-05-27,PK-1,Sprint 3: Input Reliability,-,"VR, Input",0.9.1,Unresolved,0
,PK-4,Task,Optimize VR scene for performance,"Reduce polygon count, optimize textures, and implement culling techniques to ensure smooth frame rates in the VR simulation.",Done,High,Oliver Scott,Mia Queen,"Performance, VR","""Successfully optimized main training scene. Achieved stable 90 FPS on target hardware.""",-,2025-03-20,2025-05-10,2025-05-05,-,Sprint 2: Optimization,-,"VR, Graphics",0.9,Fixed,5
,PK-5,Story,"As a trainee, I want to navigate the environment",Allow users to move through the virtual training environment using a combination of teleportation and smooth locomotion.,To Do,Medium,Penny Turner,Kayla Owens,"VR, Locomotion","""Designing intuitive locomotion controls for various VR headsets.""",-,2025-04-20,2025-05-05,2025-09-30,-,Sprint 3: Navigation,5,"VR, UI",1.1,Unresolved,0
Project Lambda: Financial Reporting System,PL-1,Epic,Develop automated financial report generation,"Build a system to automatically generate and distribute various financial reports (e.g., balance sheets, income statements) on a scheduled basis.",In Progress,High,Quincy Underwood,Rose Vance,"Financial, Reporting","""Defining report templates with finance team. Need to connect to multiple data sources.""",report_specs.pdf,2025-03-01,2025-05-20,2025-09-15,"PL-2, PL-3",Sprint 1: Data Integration,-,"Backend, Data Processing",1,Unresolved,0
,PL-2,Story,"As an accountant, I want to customize reports","Allow accountants to customize the content and format of generated financial reports, selecting specific accounts or periods.",To Do,Medium,Sam Wells,Quincy Underwood,"Customization, Reporting","""Designing a flexible reporting interface. Needs to handle complex business logic.""",-,2025-03-15,2025-05-10,2025-08-30,PL-1,Sprint 2: Customization,8,"Frontend, Reporting",1,Unresolved,0
,PL-3,Bug,Report data shows incorrect currency format,"Generated reports intermittently display incorrect currency formats (e.g., USD instead of EUR) for certain regions.",In Progress,High,Tina Xenon,Rose Vance,"Bug, Reporting, Localization","""Investigating locale settings in the data pipeline. Potential mismatch in source data.""",currency_bug.txt,2025-04-05,2025-05-22,2025-05-29,PL-1,Sprint 3: Data Validation,-,Data Pipeline,0.9.1,Unresolved,0
,PL-4,Task,Integrate with ERP system for data extraction,Establish secure API connections to the existing ERP system (SAP) to extract necessary financial data for reporting.,Done,High,Uma Yvette,Sam Wells,"Integration, ERP","""SAP integration successful. Data extraction scripts verified.""",-,2025-03-20,2025-05-10,2025-05-05,-,Sprint 1: Data Integration,-,"Integrations, Backend",0.9,Fixed,5
,PL-5,Story,"As an auditor, I want an audit trail of changes",Implement a comprehensive audit trail logging all changes made to report configurations and data sources for compliance.,To Do,High,Victor Zeller,Quincy Underwood,"Audit, Compliance","""Designing the audit log schema. Needs to be tamper-proof.""",-,2025-04-15,2025-05-01,2025-09-30,-,Sprint 4: Compliance,13,"Backend, Security",1.1,Unresolved,0
Project Mu: Online Learning Platform,PM-1,Epic,Develop course creation and management,"Build a system for instructors to create, publish, and manage online courses, including video lectures, quizzes, and assignments.",In Progress,High,Will Abbot,Xena Baker,"E-learning, Course Mgmt","""Designing course content structure. Need to integrate video hosting solution.""",course_flow.pdf,2025-03-05,2025-05-21,2025-10-01,"PM-2, PM-3",Sprint 1: Instructor Tools,-,"Frontend, Backend",1,Unresolved,0
,PM-2,Story,"As a student, I want to track my progress","Display individual student progress through courses, including completed lessons, quiz scores, and overall completion percentage.",To Do,Medium,Yvonne Carter,Will Abbot,"Student Progress, UX","""Designing the student dashboard. Needs clear visual indicators of progress.""",-,2025-03-20,2025-05-10,2025-09-01,PM-1,Sprint 2: Student Features,8,"Frontend, Reporting",1,Unresolved,0
,PM-3,Bug,Video lectures buffer excessively,"Students are experiencing frequent and prolonged buffering when watching video lectures, especially at higher resolutions.",In Progress,High,Zoe Davies,Xena Baker,"Bug, Video, Performance","""Investigating CDN configuration and video encoding settings. Potential server-side bottleneck.""",video_logs.txt,2025-04-10,2025-05-22,2025-05-28,PM-1,Sprint 3: Performance,-,Video Streaming,0.9.1,Unresolved,0
,PM-4,Task,Integrate payment gateway for course purchase,"Implement a secure payment gateway (e.g., Stripe, PayPal) for students to purchase courses.",Done,High,Adam Evans,Yvonne Carter,"Payments, Integration","""Stripe integration complete and tested with sandbox payments. Ready for UAT.""",-,2025-03-25,2025-05-15,2025-05-10,-,Sprint 2: Monetization,-,"Integrations, Backend",0.9,Fixed,5
,PM-5,Story,"As an instructor, I want to see quiz results","Provide instructors with a detailed view of quiz results for all students, including individual answers and common misconceptions.",To Do,Medium,Bella Fox,Will Abbot,"Quiz, Reporting","""Designing the quiz result analysis dashboard for instructors. Needs clear statistical summaries.""",-,2025-04-20,2025-05-01,2025-10-15,-,Sprint 4: Assessment Tools,5,"Frontend, Reporting",1.1,Unresolved,0
Project Nu: Healthcare Management System,PN-1,Epic,Develop patient registration & scheduling,"Build a system for patient registration, appointment scheduling, and basic demographic data management.",In Progress,High,Charles Green,Diana Hill,"Healthcare, Patient Mgmt","""Defining patient data fields and scheduling logic. Needs to be HIPAA compliant.""",patient_flow.pdf,2025-03-10,2025-05-20,2025-10-15,"PN-2, PN-3",Sprint 1: Core Patient Mgmt,-,"Frontend, Backend",1,Unresolved,0
,PN-2,Story,"As a doctor, I want to view patient medical history","Display a comprehensive view of a patient's medical history, including past diagnoses, treatments, and medications.",To Do,High,Edward Jones,Charles Green,"Medical History, UX","""Designing the UI for medical records. Needs secure access controls and readability.""",-,2025-03-25,2025-05-15,2025-09-30,PN-1,Sprint 2: Clinical Features,13,"Frontend, Database",1,Unresolved,0
,PN-3,Bug,Appointment clashes occurring randomly,The scheduling system is occasionally allowing multiple appointments to be booked for the same time slot with the same doctor.,In Progress,High,Flora King,Diana Hill,"Bug, Scheduling","""Investigating race conditions in the scheduling algorithm. Implementing locking mechanisms.""",schedule_bug.txt,2025-04-15,2025-05-22,2025-05-29,PN-1,Sprint 3: Scheduling Fixes,-,"Backend, Scheduling",0.9.1,Unresolved,0
,PN-4,Task,Implement secure patient data encryption,"Encrypt all sensitive patient data both in transit and at rest to comply with healthcare regulations (e.g., HIPAA).",Done,High,George Lewis,Edward Jones,"Security, Encryption","""Data encryption implemented using AES-256. Key management system deployed.""",-,2025-03-30,2025-05-10,2025-05-05,-,Sprint 1: Core Patient Mgmt,-,"Security, Database",0.9,Fixed,5
,PN-5,Story,"As a nurse, I want to record vital signs","Enable nurses to record and update patient vital signs (temperature, blood pressure, etc.) directly into the system.",To Do,Medium,Hannah Miller,Charles Green,"Vitals, Data Entry","""Designing the vital signs input form. Needs quick and accurate data entry.""",-,2025-04-25,2025-05-01,2025-10-30,-,Sprint 4: Nurse Tools,8,"Frontend, Data Entry",1.1,Unresolved,0
Project Xi: Enterprise Resource Planning (ERP) Module,PX-1,Epic,Develop inventory management module,"Build a module for tracking inventory levels, managing stock movements, and generating reorder alerts for an ERP system.",In Progress,High,Isaac Nash,Jessica Owens,"ERP, Inventory","""Mapping existing inventory processes. Defining data model for stock items.""",inventory_flow.pdf,2025-03-15,2025-05-20,2025-11-01,"PX-2, PX-3",Sprint 1: Inventory Core,-,"Backend, Inventory",1,Unresolved,0
,PX-2,Story,"As a warehouse manager, I want to track goods received","Implement functionality to record and track goods received from suppliers, updating inventory levels automatically.",To Do,High,Kyle Perry,Isaac Nash,"Goods Received, Logistics","""Designing the 'Goods Received' form. Needs barcode scanning integration.""",-,2025-03-30,2025-05-15,2025-10-30,PX-1,Sprint 2: Logistics Features,13,"Frontend, Integrations",1,Unresolved,0
,PX-3,Bug,Stock reconciliation errors after transfers,"Discrepancies are observed in stock levels after transferring items between warehouses, leading to inaccurate inventory counts.",In Progress,High,Laura Quinn,Jessica Owens,"Bug, Inventory, Data","""Investigating transaction logging for inter-warehouse transfers. Possible concurrency issue.""",recon_error.txt,2025-04-20,2025-05-22,2025-05-30,PX-1,Sprint 3: Data Consistency,-,"Backend, Database",0.9.1,Unresolved,0
,PX-4,Task,Integrate with existing supplier database,Establish API connections to the existing supplier database to fetch supplier details and order history.,Done,Medium,Mark Roberts,Kyle Perry,"Integration, Suppliers","""Supplier database integration complete. Data synchronization tested.""",-,2025-04-01,2025-05-10,2025-05-05,-,Sprint 1: Inventory Core,-,"Integrations, Backend",0.9,Fixed,5
,PX-5,Story,"As an admin, I want to configure reorder points",Allow administrators to set minimum reorder points for each inventory item and generate automated alerts when stock falls below these levels.,To Do,High,Nancy Smith,Isaac Nash,"Reorder, Configuration","""Designing the reorder point configuration UI. Needs to support bulk updates.""",-,2025-04-28,2025-05-01,2025-11-15,-,Sprint 4: Alerts,8,"Frontend, Backend",1.1,Unresolved,0
Project Omicron: Social Media Analytics Tool,PO-1,Epic,Develop social media data ingestion,"Build a system to ingest data from various social media platforms (Twitter, Facebook, Instagram) for sentiment analysis and trend tracking.",In Progress,High,Oscar Taylor,Pamela Usher,"Social Media, Data","""Researching APIs for different platforms. Starting with Twitter API integration.""",data_ingestion.pdf,2025-03-20,2025-05-20,2025-11-30,"PO-2, PO-3",Sprint 1: Data Connectors,-,"Integrations, Data",1,Unresolved,0
,PO-2,Story,"As a marketer, I want to track brand mentions",Display real-time mentions of specified brands or keywords across social media platforms with sentiment scores.,To Do,High,Quentin Vance,Oscar Taylor,"Brand Tracking, Sentiment","""Designing the dashboard for brand mentions. Needs a robust sentiment analysis module.""",-,2025-04-05,2025-05-15,2025-11-01,PO-1,Sprint 2: Core Analytics,13,"Frontend, AI/ML",1,Unresolved,0
